id,title,imageUrl,category,datePublication,articleUrl
1860287559,Основы работы с PostgreSQL в Docker,https://habrastorage.org/getpro/habr/upload_files/ac5/f13/db8/ac5f13db8626b271aac38010bf0e1c59.jpeg,Tech,2021-10-05,https://habr.com/ru/post/581548/
761081182,Почему я написал плагин Ataman и как он может изменить вашу работу с IDE от JetBrains,https://habrastorage.org/getpro/habr/upload_files/901/332/e72/901332e72b6b84f190f00906cd844373.png,Tech,2021-10-04,https://habr.com/ru/post/581536/
1542573091,Создание счётчика жестов «дай пять» с помощью глубокого обучения,https://habrastorage.org/getpro/habr/upload_files/cb0/504/7b3/cb05047b313179daccc0d2874033ee75.gif,Tech,2021-10-04,https://habr.com/ru/company/etmc_exponenta/blog/581504/
7439605466,Аудио-графическое шифрование или как звук в картинку спрятать,https://habrastorage.org/getpro/habr/upload_files/b07/553/001/b0755300187484719767a6b8916b7218.jpg,Tech,2021-10-04,https://habr.com/ru/post/581496/
9158267869,Security Week 40: кража денег через Apple Pay,https://habrastorage.org/webt/2u/up/sg/2uupsgpj7zt8wu7oukbaoqam2c0.png,Tech,2021-10-04,https://habr.com/ru/company/kaspersky/blog/581486/
6205028008,Какую СУБД выбрать и почему? (Статья 2),https://habrastorage.org/getpro/habr/upload_files/479/c1c/8b7/479c1c8b77ea321486d32f454aabd63d.jpg,Tech,2021-10-04,https://habr.com/ru/post/581492/
6540436761,Топ 5 самых громких событий инфосека за сентябрь 2021,https://habrastorage.org/getpro/habr/upload_files/98a/4ae/3bc/98a4ae3bc7dd90fc524742070a9578aa.jpg,Tech,2021-10-04,https://habr.com/ru/company/tomhunter/blog/581490/
1652335874,"А вы знаете, где сейчас используется Лисп?",https://habrastorage.org/getpro/habr/upload_files/98a/4ae/3bc/98a4ae3bc7dd90fc524742070a9578aa.jpg,Tech,2021-10-04,https://habr.com/ru/company/typeable/blog/581488/
4879611566,Как сделать 240 килобайт исходников на ПЛК для управления одними рольставнями,https://habrastorage.org/getpro/habr/upload_files/e3b/119/7b7/e3b1197b7772980de62833c2de8fa938.jpg,Tech,2021-10-04,https://habr.com/ru/post/581468/
2140381877,Сравнение лучших сервисов для мониторинга цен конкурентов: преимущества и отличия,https://habrastorage.org/getpro/habr/upload_files/39e/6f9/448/39e6f9448adbf81b0c2c845a06c18396.png,Tech,2021-10-04,https://habr.com/ru/post/581464/
3402353420,"KotlinDL 0.3: поддержка ONNX, Object Detection API, 20+ новых моделей в ModelHub, и много новых слоев",https://habrastorage.org/getpro/habr/upload_files/62f/147/c65/62f147c65ec9803a28b671f6e0255547.png,Tech,2021-10-04,https://habr.com/ru/company/JetBrains/blog/581462/
2339397167,Российские BIM-технологии: проектирование систем электроснабжения в Model Studio CS,https://habrastorage.org/getpro/habr/upload_files/3a5/199/975/3a5199975ff466b1bdb2b3e80793ac73.jpg,Tech,2021-10-04,https://habr.com/ru/company/nanosoft/blog/581434/
